Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-10-16,71.15,69.55,70.55,3028680,2127.435864,1124
2018-10-17,71.75,69.25,69.9,2916745,2047.111939,1138
2018-10-18,70.9,68.4,70.4,3066537,2133.063307,1182
2018-10-19,71.4,69.15,69.6,3536220,2470.32675,1951
2018-10-20,70.35,68.05,68.75,2124482,1473.191053,1003
2018-10-21,68.45,65.15,65.55,7041255,4676.301974,1592
2018-10-22,67.25,65.5,66.3,4213698,2798.231921,965
2018-10-23,68.15,64.6,65.25,4469396,2968.050981,1803
2018-10-24,67.85,65.1,67.55,6828282,4572.900644,1507
2018-10-25,70.2,66.45,69.2,11110591,7658.899716,3566
2018-10-26,69.5,65.05,65.35,6717626,4473.853559,2285
2018-10-27,67.15,65.65,65.9,2892850,1918.093976,1140
2018-10-28,67.95,65.8,66.9,5950455,3959.205457,1772
2018-10-29,68.15,66.85,67.45,3283026,2219.069433,1399
2018-10-30,67.95,66.75,67.1,3078805,2070.01896,953
2018-10-31,67.45,66.4,66.55,3161336,2112.755378,2648
2018-11-01,67.15,64.05,66.15,10552247,6978.336028,5893
2018-11-02,67.95,65.15,65.5,4724311,3137.79998,5784
2018-11-03,66.25,65.1,65.45,9665743,6327.875329,7425
2018-11-04,67.75,65.6,67.05,11001198,7380.63306,3060
